source,target,value,provincia
Budget,Auston Matthews,11634000,TOR
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,William Nylander,6962366,TOR
Budget,Jake Muzzin,5625000,TOR
Budget,Frederik Andersen,5000000,TOR
Budget,Morgan Rielly,5000000,TOR
Budget,TJ Brodie,5000000,TOR
Budget,Alexander Kerfoot,3500000,TOR
Budget,Zach Hyman,2250000,TOR
Budget,Justin Holl,2000000,TOR
Budget,Jack Campbell,1650000,TOR
Budget,Ilya Mikheyev,1645000,TOR
Budget,Wayne Simmonds,1500000,TOR
Budget,Pierre Engvall,1250000,TOR
Budget,Zach Bogosian,1000000,TOR
Budget,Yegor Korshkov,925000,TOR
Budget,Alexander Barabanov,925000,TOR
Budget,Mikko Lehtonen,925000,TOR
Budget,Jimmy Vesey,900000,TOR
Budget,Rasmus Sandin,894167,TOR
Budget,Travis Dermott,874125,TOR
Budget,Timothy Liljegren,863333,TOR
Budget,Nicholas Robertson,821667,TOR
Budget,Mikhail Abramov,810000,TOR
Budget,Filip Král,810000,TOR
Budget,Ian Scott,805833,TOR
Budget,Aaron Dell,800000,TOR
Budget,Joseph Duszak,800000,TOR
Budget,Joseph Woll,800000,TOR
Budget,Mac Hollowell,799766,TOR
Budget,Kristians Rubins,785000,TOR
Budget,Nicolas Petan,775000,TOR
Budget,Semyon Der-Arguchintsev,766667,TOR
Budget,Filip Hållander,764167,TOR
Budget,Calle Rosén,750000,TOR
Budget,Kenny Agostino,737500,TOR
Budget,Adam Brooks,725000,TOR
Budget,Teemu Kivihalme,725000,TOR
Budget,Jason Spezza,700000,TOR
Budget,Martin Marincin,700000,TOR
Budget,Joe Thornton,700000,TOR
Budget,David Warsofsky,700000,TOR
Budget,Travis Boyd,700000,TOR
Budget,Kalle Kossila,700000,TOR
Budget,Denis Malgin,700000,TOR
